ranking_posicion,CUENTA_ID,SED_ID,LLAVE_ID,MACRO_GIRO,tipo_predicho,probabilidad_final,posterior_fraude,recupero_p10_kwh,recupero_p10_soles,prioridad,nivel_sospecha,alta_incertidumbre,datos_insuficientes,sin_servicio,caida_pct,factor_uso,desv_sed,anomaly_score,firma_fraude,señal_vecindario,caida_vs_sed,desacople_sed,cons_anual,ratio_meses_activos,POTENCIA_CONTRATADA,meses_cero_finales,meses_activos,kwhd_promedio
21,SUM_009540,SED_0938,LLAVE_05,POT_ALTA,CLANDESTINA,0.6510733891985647,0.008464773452328881,7503.445552682207,5004.798183639032,3258.4909156766853,MUY ALTO,False,False,False,1.0,0.018417245370370372,-0.28743641757113403,0.38656603645251875,0.73924250678058,0.9505484582971038,0.9366793229143202,0.656876146461108,1371.0,0.6666666666666666,12.0,4,8,3.7605702764976954
22,SUM_000990,SED_1041,LLAVE_16,POT_ALTA,MANIPULACIÓN,0.9411266823337249,0.034404233520358464,5145.457306318125,3432.0200233141895,3229.9656182445965,CRÍTICO,False,False,False,-0.19664739596911918,0.13997395833333334,30.75567607755837,0.7645067293348994,1.0,0.35832385793592403,-0.34338333964009826,0.7697114264698227,28131.0,1.0,12.0,0,12,74.94996775178227
23,SUM_005907,SED_2475,LLAVE_10,POT_ALTA,MANIPULACIÓN,0.7946621578746449,0.011162718434674463,6061.944958420453,4043.3172872664422,3213.0712404710066,MUY ALTO,False,False,False,-0.7600384712144903,0.4361861861861862,52.75297305347528,0.7850691199467723,0.7978598371839358,0.25374891311617953,-1.408675139543929,0.3524639498294038,42291.0,0.9166666666666666,11.1,0,11,97.48258993090728
24,SUM_005029,SED_2154,LLAVE_16,POT_ALTA,CLANDESTINA,0.5330125402510033,0.002531645567879608,9017.733418256897,6014.828189977351,3205.9788527131723,ALTO,True,False,False,0.08203247568246003,0.004360233077905492,0.09949855235354357,0.3133097504186828,0.6062468035284435,0.4492341649388001,-0.08485715409726599,0.4714556875070624,414.0,0.9166666666666666,12.0,1,11,1.12695391815421
25,SUM_001109,SED_2413,LLAVE_05,POT_ALTA,MANIPULACIÓN,0.9410276592684345,0.034404233520358464,5092.241424015827,3396.5250298185565,3196.223998456806,CRÍTICO,False,False,False,-2.0,0.2015344982078853,29.463847431253715,0.7641106370737377,1.0,0.25929703698749246,-2.0,0.5850941603958543,19103.0,1.0,12.0,0,12,52.095495711725555
26,SUM_014910,SED_1207,LLAVE_16,POT_MEDIA,CLANDESTINA,0.5731499364681321,0.002531645567879608,8269.31387745091,5515.632356259757,3161.2843345718534,ALTO,False,False,False,0.9423004589853721,0.0007925581940565293,-0.08404773450715286,0.4795360548283876,0.6043545636813802,0.933255300648786,0.8365878903815008,0.7182817926960902,193.0,0.8333333333333334,5.1,2,10,0.15339301033519842
27,SUM_004099,SED_2195,LLAVE_08,POT_ALTA,MANIPULACIÓN,0.9359405874350848,0.034404233520358464,5053.515482074392,3370.6948265436195,3154.7700960196366,CRÍTICO,False,False,False,-1.2862498696611788,0.19955724708567701,12.04912643789631,0.7437623497403394,1.0,0.29484984281987825,-0.5973569724212665,0.4074048192846496,28370.0,0.8333333333333334,12.0,0,10,50.034651244825675
28,SUM_002895,SED_0212,LLAVE_16,POT_ALTA,CLANDESTINA,0.5542928497713309,0.002531645567879608,8439.36346316148,5629.055429928708,3120.1451757759673,ALTO,False,False,False,1.0,0.004976851851851852,0.01879689164522158,0.4037436163404394,0.604475927581628,0.9396160791920273,0.8646162017580296,0.7127506246912038,443.0,0.75,12.0,3,9,1.2194708461341526
29,SUM_013499,SED_0090,LLAVE_08,POT_ALTA,MANIPULACIÓN,0.88916725697992,0.01895129477444738,5168.314986355304,3447.266095898988,3065.196138570381,CRÍTICO,False,False,False,1.0,0.2228755735301074,7.278493197108546,0.6952014292188728,0.9538225329002691,0.9092635944084008,0.7524810751278721,0.5344808356392675,11524.0,0.75,8.1,3,9,31.921899829175274
30,SUM_017150,SED_1270,LLAVE_05,POT_ALTA,MANIPULACIÓN,0.9391058647238684,0.034404233520358464,4884.0430178720735,3257.6566929206733,3059.284505578766,CRÍTICO,False,False,False,-2.0,0.17467517921146952,19.87661293767921,0.7564234588954735,1.0,0.25666845027088486,-2.0,0.5566563439157379,26733.0,1.0,12.0,0,12,55.83755716408812
31,SUM_018118,SED_0515,LLAVE_05,POT_ALTA,MANIPULACIÓN,0.9068998787445434,0.034404233520358464,4958.686766890946,3307.444073516261,2999.520629226256,CRÍTICO,False,False,False,0.0,0.07000448028673835,32.34949843990751,0.6275995149781735,1.0,0.5978128553274028,0.0,0.6009903120723994,1327.0,1.0,12.0,0,3,14.642169237961662
32,SUM_014340,SED_2362,LLAVE_08,POT_ALTA,MANIPULACIÓN,0.7514027697473141,0.008464773452328881,5959.136664166298,3974.744154998921,2986.633767103137,MUY ALTO,False,False,False,0.017890882221848828,0.637518801203277,55.2485322624233,0.7821427203102309,0.7411561195596752,0.34926760751789176,-0.23691260767156935,0.34930764369715056,76719.0,1.0,12.0,0,12,203.44777542212674
33,SUM_017321,SED_0035,LLAVE_16,POT_ALTA,CLANDESTINA,0.5510979891583254,0.002531645567879608,8118.019667590993,5414.719118283193,2984.0408179430083,ALTO,False,False,False,1.0,0.000495000495000495,-0.346655306638966,0.39132826558916123,0.6043545636813802,0.9485385592936927,0.8355803350232252,1.0771206834481803,376.0,0.5,11.1,3,6,0.8239986123127526
34,SUM_013724,SED_2315,LLAVE_16,POT_ALTA,CLANDESTINA,0.6262505149184506,0.007872924089224274,7032.103963043591,4690.413343350076,2937.3737714533563,MUY ALTO,False,False,False,1.0,0.016058397106784205,1.5878281348327659,0.3898129180940822,0.7050630471932402,0.890201324326132,0.5875212145482791,0.5069272558096244,1336.0,0.75,11.1,3,9,3.6836853558627745
35,SUM_011954,SED_0933,LLAVE_08,POT_ALTA,CLANDESTINA,0.5677076195989439,0.002531645567879608,7721.300032363034,5150.107121586144,2923.7550546752386,ALTO,False,False,False,1.0,0.003069367710251688,0.0603918948590144,0.4430561318483137,0.6092581155158205,0.9514681292221255,0.858735422229993,1.061977478011743,1955.0,0.5,12.0,4,6,3.505896768879486
36,SUM_000731,SED_2181,LLAVE_16,POT_ALTA,CLANDESTINA,0.5931771796445375,0.002531645567879608,7348.0275383231565,4901.1343680615455,2907.24106150566,ALTO,False,False,False,0.9698924731182796,0.00011387395459976105,249.67514464662736,0.5519024154669311,0.6069354343704063,0.935870510333757,0.706380029116318,1.1644708542556876,141.0,0.5833333333333334,12.0,1,7,0.3909882232462878
37,SUM_000475,SED_2362,LLAVE_08,POT_ALTA,MANIPULACIÓN,0.8735889444496221,0.01895129477444738,4981.201008812113,3322.4610728776797,2902.465261630171,CRÍTICO,False,False,False,1.0,0.08980174731182795,5.379217905966895,0.632888179097681,0.9538225329002691,0.9166075847769379,0.7082254725417865,0.7029531982051852,9323.0,0.6666666666666666,12.0,3,8,23.07238554301958
38,SUM_004081,SED_1565,LLAVE_16,POT_MEDIA,CLANDESTINA,0.5627798653317361,0.002531645567879608,7684.452228508026,5125.5296364148535,2884.5448785353733,ALTO,False,False,False,1.0,0.0,0.5581425764363279,0.43031315821572547,0.6069354343704063,0.9527590127750651,0.8503132523208559,1.144598913056515,402.0,0.4166666666666667,5.1,7,5,0.8401507721041196
39,SUM_002389,SED_2738,LLAVE_08,POT_ALTA,MANIPULACIÓN,0.5632613050462605,0.002531645567879608,7616.071680441203,5079.919810854283,2861.3222621921363,ALTO,False,False,False,1.0,0.0,-0.6962743885950169,0.4399815291409012,0.6043545636813802,0.9653401110293625,0.848028783811887,1.5063608298633575,162.0,0.4166666666666667,12.0,7,5,0.4351862519201229
40,SUM_015875,SED_0539,LLAVE_16,POT_ALTA,CLANDESTINA,0.6082051583432897,0.002531645567879608,7036.357146518349,4693.250216727739,2854.458991209573,ALTO,False,False,False,0.0,9.884278952075563e-05,3.2656500402104394,0.47348192896274743,0.6531129014701372,0.5672530265534077,0.0,0.3380483115619156,137.0,0.75,11.1,1,3,1.2631658595641646
41,SUM_014334,SED_1538,LLAVE_05,POT_ALTA,CLANDESTINA,0.5551726650880017,0.002531645567879608,7707.681122318587,5141.0233085864975,2854.155611507502,ALTO,False,False,False,0.8051593021521944,0.00019593769593769596,0.5997580428166046,0.3998843572407878,0.6069354343704063,0.9160591264798341,0.52015087940325,1.1175296153868959,125.0,0.5,11.1,1,6,0.2515502077153181
42,SUM_011528,SED_1886,LLAVE_08,POT_ALTA,MANIPULACIÓN,0.932392899449866,0.034404233520358464,4589.135962958863,3060.953687293562,2854.0114835774025,CRÍTICO,False,False,False,-0.39688857673205225,0.17782118055555557,9.815697336893297,0.729571597799464,1.0,0.2972510199986623,-0.6616991976900661,0.4730864120224962,16781.0,0.8333333333333334,12.0,0,10,46.519281233998974
43,SUM_004297,SED_0063,LLAVE_08,POT_ALTA,CLANDESTINA,0.5461899178282487,0.002531645567879608,7833.907888724081,5225.216561778962,2853.9606045128553,ALTO,False,False,False,1.0,0.007931318415189383,0.151112187577687,0.3639533682017758,0.6069354343704063,0.9234700020065547,0.7710535185761369,0.6889069938021838,646.0,0.6666666666666666,11.1,3,8,1.622064639723149
44,SUM_016262,SED_1523,LLAVE_08,POT_ALTA,MANIPULACIÓN,0.646668685858651,0.002531645567879608,6613.226242400466,4411.021903681111,2852.4697377471894,ALTO,False,False,False,-0.5348561006964097,0.29741348870056494,21.260923286502525,0.7660197976013945,0.6068849819444032,0.2529596682496154,-0.44297140007148295,0.19184774920687023,60713.0,0.9166666666666666,12.0,0,11,79.32493336276141
45,SUM_014878,SED_2475,LLAVE_10,POT_MEDIA,CLANDESTINA,0.5609514158670367,0.002531645567879608,7556.602722918652,5040.254016186741,2827.3376267094704,ALTO,False,False,False,1.0,0.0,-0.7487365963726011,0.43074197242400597,0.6043545636813802,0.9729750518359975,0.9105933919132629,1.2534192051596826,208.0,0.3333333333333333,5.1,7,4,0.4571788594470046
